instant,date,season,year,month,hour,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,total_count,bln,cuaca,musim
2381,2011-04-14,2,0,4,2,0,4,Weekday,1,0.36,0.3485,0.76,0.1343,0,3,3,Apr,Clear,Summer
2382,2011-04-14,2,0,4,3,0,4,Weekday,1,0.34,0.3333,0.81,0.1343,0,2,2,Apr,Clear,Summer
2383,2011-04-14,2,0,4,4,0,4,Weekday,1,0.34,0.3636,0.76,0.0,1,8,9,Apr,Clear,Summer
2384,2011-04-14,2,0,4,5,0,4,Weekday,1,0.34,0.3485,0.76,0.0896,2,12,14,Apr,Clear,Summer
2385,2011-04-14,2,0,4,6,0,4,Weekday,1,0.34,0.3485,0.76,0.1045,4,66,70,Apr,Clear,Summer
2386,2011-04-14,2,0,4,7,0,4,Weekday,1,0.38,0.3939,0.66,0.0,11,182,193,Apr,Clear,Summer
2387,2011-04-14,2,0,4,8,0,4,Weekday,1,0.42,0.4242,0.58,0.1642,21,316,337,Apr,Clear,Summer
2388,2011-04-14,2,0,4,9,0,4,Weekday,1,0.46,0.4545,0.51,0.1343,18,152,170,Apr,Clear,Summer
2389,2011-04-14,2,0,4,10,0,4,Weekday,1,0.5,0.4848,0.51,0.194,21,68,89,Apr,Clear,Summer
2390,2011-04-14,2,0,4,11,0,4,Weekday,1,0.52,0.5,0.45,0.1642,28,87,115,Apr,Clear,Summer
2391,2011-04-14,2,0,4,12,0,4,Weekday,1,0.54,0.5152,0.42,0.1343,35,110,145,Apr,Clear,Summer
2392,2011-04-14,2,0,4,13,0,4,Weekday,1,0.56,0.5303,0.37,0.2239,38,121,159,Apr,Clear,Summer
2393,2011-04-14,2,0,4,14,0,4,Weekday,1,0.56,0.5303,0.35,0.0896,36,101,137,Apr,Clear,Summer
2394,2011-04-14,2,0,4,15,0,4,Weekday,1,0.6,0.6212,0.31,0.0896,57,85,142,Apr,Clear,Summer
2395,2011-04-14,2,0,4,16,0,4,Weekday,1,0.6,0.6061,0.26,0.1045,49,153,202,Apr,Clear,Summer
2396,2011-04-14,2,0,4,17,0,4,Weekday,1,0.6,0.6061,0.28,0.0,50,338,388,Apr,Clear,Summer
2397,2011-04-14,2,0,4,18,0,4,Weekday,1,0.56,0.5303,0.3,0.0,47,290,337,Apr,Clear,Summer
2398,2011-04-14,2,0,4,19,0,4,Weekday,1,0.54,0.5152,0.32,0.0,37,222,259,Apr,Clear,Summer
2399,2011-04-14,2,0,4,20,0,4,Weekday,1,0.5,0.4848,0.51,0.194,22,147,169,Apr,Clear,Summer
2400,2011-04-14,2,0,4,21,0,4,Weekday,1,0.46,0.4545,0.63,0.1343,19,126,145,Apr,Clear,Summer
2401,2011-04-14,2,0,4,22,0,4,Weekday,1,0.48,0.4697,0.55,0.1045,22,82,104,Apr,Clear,Summer
2402,2011-04-14,2,0,4,23,0,4,Weekday,1,0.46,0.4545,0.59,0.1045,7,40,47,Apr,Clear,Summer
2403,2011-04-15,2,0,4,0,1,5,Weekend,1,0.44,0.4394,0.67,0.0,6,21,27,Apr,Clear,Summer
2404,2011-04-15,2,0,4,1,1,5,Weekend,1,0.44,0.4394,0.62,0.0,6,9,15,Apr,Clear,Summer
2405,2011-04-15,2,0,4,2,1,5,Weekend,1,0.4,0.4091,0.76,0.0,8,10,18,Apr,Clear,Summer
2406,2011-04-15,2,0,4,3,1,5,Weekend,1,0.4,0.4091,0.76,0.0,0,3,3,Apr,Clear,Summer
2407,2011-04-15,2,0,4,4,1,5,Weekend,1,0.38,0.3939,0.82,0.0896,0,3,3,Apr,Clear,Summer
2408,2011-04-15,2,0,4,5,1,5,Weekend,1,0.36,0.3636,0.81,0.1045,2,11,13,Apr,Clear,Summer
2409,2011-04-15,2,0,4,6,1,5,Weekend,1,0.36,0.3636,0.81,0.0896,5,42,47,Apr,Clear,Summer
2410,2011-04-15,2,0,4,7,1,5,Weekend,1,0.4,0.4091,0.71,0.1642,10,139,149,Apr,Clear,Summer
2411,2011-04-15,2,0,4,8,1,5,Weekend,1,0.44,0.4394,0.62,0.2985,21,279,300,Apr,Clear,Summer
2412,2011-04-15,2,0,4,9,1,5,Weekend,1,0.5,0.4848,0.55,0.194,16,162,178,Apr,Clear,Summer
2413,2011-04-15,2,0,4,10,1,5,Weekend,1,0.5,0.4848,0.55,0.194,31,91,122,Apr,Clear,Summer
2414,2011-04-15,2,0,4,11,1,5,Weekend,1,0.52,0.5,0.55,0.194,41,95,136,Apr,Clear,Summer
2415,2011-04-15,2,0,4,12,1,5,Weekend,1,0.52,0.5,0.55,0.2836,45,155,200,Apr,Clear,Summer
2416,2011-04-15,2,0,4,13,1,5,Weekend,1,0.54,0.5152,0.52,0.2537,47,133,180,Apr,Clear,Summer
2417,2011-04-15,2,0,4,14,1,5,Weekend,1,0.54,0.5152,0.52,0.2537,57,106,163,Apr,Clear,Summer
2418,2011-04-15,2,0,4,15,1,5,Weekend,1,0.54,0.5152,0.52,0.4478,50,112,162,Apr,Clear,Summer
2419,2011-04-15,2,0,4,16,1,5,Weekend,1,0.52,0.5,0.55,0.4925,70,173,243,Apr,Clear,Summer
2420,2011-04-15,2,0,4,17,1,5,Weekend,2,0.5,0.4848,0.63,0.3881,64,267,331,Apr,Cloudy,Summer
2421,2011-04-15,2,0,4,18,1,5,Weekend,2,0.46,0.4545,0.67,0.3881,47,216,263,Apr,Cloudy,Summer
2422,2011-04-15,2,0,4,19,1,5,Weekend,1,0.42,0.4242,0.77,0.3881,41,168,209,Apr,Clear,Summer
2423,2011-04-15,2,0,4,20,1,5,Weekend,2,0.4,0.4091,0.76,0.3284,26,92,118,Apr,Cloudy,Summer
2424,2011-04-15,2,0,4,21,1,5,Weekend,2,0.4,0.4091,0.76,0.2985,25,77,102,Apr,Cloudy,Summer
2425,2011-04-15,2,0,4,22,1,5,Weekend,2,0.38,0.3939,0.82,0.3881,16,64,80,Apr,Cloudy,Summer
2426,2011-04-15,2,0,4,23,1,5,Weekend,2,0.36,0.3485,0.81,0.194,8,56,64,Apr,Cloudy,Summer
2427,2011-04-16,2,0,4,0,0,6,Weekend,2,0.36,0.3485,0.81,0.2239,7,36,43,Apr,Cloudy,Summer
2428,2011-04-16,2,0,4,1,0,6,Weekend,2,0.36,0.3333,0.87,0.2836,5,28,33,Apr,Cloudy,Summer
2429,2011-04-16,2,0,4,2,0,6,Weekend,2,0.36,0.3485,0.87,0.1343,5,19,24,Apr,Cloudy,Summer
2430,2011-04-16,2,0,4,3,0,6,Weekend,2,0.36,0.3485,0.87,0.1642,5,9,14,Apr,Cloudy,Summer
2431,2011-04-16,2,0,4,4,0,6,Weekend,2,0.36,0.3485,0.87,0.2239,1,4,5,Apr,Cloudy,Summer
2432,2011-04-16,2,0,4,5,0,6,Weekend,2,0.38,0.3939,0.87,0.2836,1,3,4,Apr,Cloudy,Summer
2433,2011-04-16,2,0,4,6,0,6,Weekend,3,0.4,0.4091,0.82,0.3284,1,9,10,Apr,Light Snow,Summer
2434,2011-04-16,2,0,4,7,0,6,Weekend,2,0.4,0.4091,0.82,0.4179,3,18,21,Apr,Cloudy,Summer
2435,2011-04-16,2,0,4,8,0,6,Weekend,3,0.4,0.4091,0.87,0.3582,7,38,45,Apr,Light Snow,Summer
2436,2011-04-16,2,0,4,9,0,6,Weekend,3,0.4,0.4091,1.0,0.2985,2,27,29,Apr,Light Snow,Summer
2437,2011-04-16,2,0,4,10,0,6,Weekend,3,0.42,0.4242,0.94,0.3881,1,21,22,Apr,Light Snow,Summer
2438,2011-04-16,2,0,4,11,0,6,Weekend,3,0.42,0.4242,0.94,0.4478,4,27,31,Apr,Light Snow,Summer
2439,2011-04-16,2,0,4,12,0,6,Weekend,2,0.46,0.4545,0.88,0.5821,6,26,32,Apr,Cloudy,Summer
2440,2011-04-16,2,0,4,13,0,6,Weekend,3,0.46,0.4545,0.94,0.5224,9,49,58,Apr,Light Snow,Summer
2441,2011-04-16,2,0,4,14,0,6,Weekend,3,0.52,0.5,0.83,0.5821,14,49,63,Apr,Light Snow,Summer
2442,2011-04-16,2,0,4,15,0,6,Weekend,3,0.52,0.5,0.83,0.5821,16,62,78,Apr,Light Snow,Summer
2443,2011-04-16,2,0,4,16,0,6,Weekend,3,0.5,0.4848,0.88,0.4627,6,27,33,Apr,Light Snow,Summer
2444,2011-04-16,2,0,4,17,0,6,Weekend,3,0.5,0.4848,0.88,0.5821,1,14,15,Apr,Light Snow,Summer
2445,2011-04-16,2,0,4,18,0,6,Weekend,2,0.5,0.4848,0.94,0.3881,6,32,38,Apr,Cloudy,Summer
2446,2011-04-16,2,0,4,19,0,6,Weekend,2,0.52,0.5,0.94,0.4179,9,62,71,Apr,Cloudy,Summer
2447,2011-04-16,2,0,4,20,0,6,Weekend,3,0.44,0.4394,0.94,0.2239,4,49,53,Apr,Light Snow,Summer
2448,2011-04-16,2,0,4,21,0,6,Weekend,2,0.44,0.4394,0.94,0.0,1,13,14,Apr,Cloudy,Summer
2449,2011-04-16,2,0,4,22,0,6,Weekend,3,0.42,0.4242,1.0,0.0,2,22,24,Apr,Light Snow,Summer
2450,2011-04-16,2,0,4,23,0,6,Weekend,2,0.44,0.4394,0.77,0.2836,5,30,35,Apr,Cloudy,Summer
2451,2011-04-17,2,0,4,0,0,0,Weekend,2,0.44,0.4394,0.77,0.2836,4,29,33,Apr,Cloudy,Summer
2452,2011-04-17,2,0,4,1,0,0,Weekend,1,0.42,0.4242,0.67,0.2239,6,25,31,Apr,Clear,Summer
2453,2011-04-17,2,0,4,2,0,0,Weekend,1,0.4,0.4091,0.62,0.194,4,25,29,Apr,Clear,Summer
2454,2011-04-17,2,0,4,3,0,0,Weekend,1,0.4,0.4091,0.66,0.1343,12,13,25,Apr,Clear,Summer
2455,2011-04-17,2,0,4,4,0,0,Weekend,1,0.36,0.3636,0.76,0.1045,2,5,7,Apr,Clear,Summer
2456,2011-04-17,2,0,4,5,0,0,Weekend,1,0.36,0.3485,0.71,0.1642,2,1,3,Apr,Clear,Summer
2457,2011-04-17,2,0,4,6,0,0,Weekend,1,0.36,0.3182,0.66,0.4478,3,5,8,Apr,Clear,Summer
2458,2011-04-17,2,0,4,7,0,0,Weekend,1,0.36,0.3333,0.5,0.3582,2,14,16,Apr,Clear,Summer
2459,2011-04-17,2,0,4,8,0,0,Weekend,1,0.38,0.3939,0.46,0.3881,7,36,43,Apr,Clear,Summer
2460,2011-04-17,2,0,4,9,0,0,Weekend,1,0.4,0.4091,0.43,0.2836,31,71,102,Apr,Clear,Summer
2461,2011-04-17,2,0,4,10,0,0,Weekend,1,0.42,0.4242,0.44,0.4478,91,120,211,Apr,Clear,Summer
2462,2011-04-17,2,0,4,11,0,0,Weekend,1,0.46,0.4545,0.41,0.4179,119,185,304,Apr,Clear,Summer
2463,2011-04-17,2,0,4,12,0,0,Weekend,1,0.46,0.4545,0.38,0.3881,167,187,354,Apr,Clear,Summer
2464,2011-04-17,2,0,4,13,0,0,Weekend,1,0.5,0.4848,0.34,0.3881,181,162,343,Apr,Clear,Summer
2465,2011-04-17,2,0,4,14,0,0,Weekend,1,0.52,0.5,0.34,0.3881,170,191,361,Apr,Clear,Summer
2466,2011-04-17,2,0,4,15,0,0,Weekend,1,0.54,0.5152,0.32,0.5224,179,209,388,Apr,Clear,Summer
2467,2011-04-17,2,0,4,16,0,0,Weekend,1,0.54,0.5152,0.3,0.3582,161,182,343,Apr,Clear,Summer
2468,2011-04-17,2,0,4,17,0,0,Weekend,1,0.56,0.5303,0.3,0.4478,143,163,306,Apr,Clear,Summer
2469,2011-04-17,2,0,4,18,0,0,Weekend,1,0.56,0.5303,0.3,0.3881,102,175,277,Apr,Clear,Summer
2470,2011-04-17,2,0,4,19,0,0,Weekend,1,0.56,0.5303,0.3,0.2985,75,135,210,Apr,Clear,Summer
2471,2011-04-17,2,0,4,20,0,0,Weekend,1,0.52,0.5,0.36,0.194,44,97,141,Apr,Clear,Summer
2472,2011-04-17,2,0,4,21,0,0,Weekend,1,0.5,0.4848,0.42,0.194,13,70,83,Apr,Clear,Summer
2473,2011-04-17,2,0,4,22,0,0,Weekend,1,0.5,0.4848,0.39,0.1045,21,49,70,Apr,Clear,Summer
2474,2011-04-17,2,0,4,23,0,0,Weekend,1,0.44,0.4394,0.67,0.1642,19,37,56,Apr,Clear,Summer
2475,2011-04-18,2,0,4,0,0,1,Weekday,1,0.46,0.4545,0.47,0.0896,15,24,39,Apr,Clear,Summer
2476,2011-04-18,2,0,4,1,0,1,Weekday,1,0.46,0.4545,0.47,0.1343,11,8,19,Apr,Clear,Summer
2477,2011-04-18,2,0,4,2,0,1,Weekday,1,0.42,0.4242,0.67,0.1045,14,2,16,Apr,Clear,Summer
2478,2011-04-18,2,0,4,3,0,1,Weekday,1,0.42,0.4242,0.62,0.1045,6,1,7,Apr,Clear,Summer
2479,2011-04-18,2,0,4,4,0,1,Weekday,1,0.4,0.4091,0.87,0.1642,2,4,6,Apr,Clear,Summer
2480,2011-04-18,2,0,4,5,0,1,Weekday,1,0.4,0.4091,0.76,0.0896,0,16,16,Apr,Clear,Summer
2481,2011-04-18,2,0,4,6,0,1,Weekday,1,0.4,0.4091,0.82,0.0,3,51,54,Apr,Clear,Summer
2482,2011-04-18,2,0,4,7,0,1,Weekday,1,0.46,0.4545,0.63,0.0,12,156,168,Apr,Clear,Summer
2483,2011-04-18,2,0,4,8,0,1,Weekday,1,0.46,0.4545,0.63,0.0,20,277,297,Apr,Clear,Summer
2484,2011-04-18,2,0,4,9,0,1,Weekday,2,0.5,0.4848,0.55,0.1045,37,132,169,Apr,Cloudy,Summer
2485,2011-04-18,2,0,4,10,0,1,Weekday,2,0.52,0.5,0.55,0.1045,41,68,109,Apr,Cloudy,Summer
2486,2011-04-18,2,0,4,11,0,1,Weekday,2,0.54,0.5152,0.52,0.0896,36,87,123,Apr,Cloudy,Summer
2487,2011-04-18,2,0,4,12,0,1,Weekday,2,0.56,0.5303,0.49,0.0896,60,124,184,Apr,Cloudy,Summer
2488,2011-04-18,2,0,4,13,0,1,Weekday,2,0.56,0.5303,0.49,0.1642,41,128,169,Apr,Cloudy,Summer
2489,2011-04-18,2,0,4,14,0,1,Weekday,2,0.58,0.5455,0.49,0.194,49,95,144,Apr,Cloudy,Summer
2490,2011-04-18,2,0,4,15,0,1,Weekday,2,0.6,0.6212,0.43,0.194,64,112,176,Apr,Cloudy,Summer
2491,2011-04-18,2,0,4,16,0,1,Weekday,1,0.6,0.6212,0.46,0.2836,40,165,205,Apr,Clear,Summer
2492,2011-04-18,2,0,4,17,0,1,Weekday,1,0.58,0.5455,0.49,0.2836,66,362,428,Apr,Clear,Summer
2493,2011-04-18,2,0,4,18,0,1,Weekday,1,0.64,0.6212,0.31,0.3582,41,321,362,Apr,Clear,Summer
2494,2011-04-18,2,0,4,19,0,1,Weekday,1,0.56,0.5303,0.46,0.2537,42,244,286,Apr,Clear,Summer
2495,2011-04-18,2,0,4,20,0,1,Weekday,1,0.6,0.6212,0.33,0.2985,29,136,165,Apr,Clear,Summer
2496,2011-04-18,2,0,4,21,0,1,Weekday,1,0.56,0.5303,0.37,0.2836,20,131,151,Apr,Clear,Summer
2497,2011-04-18,2,0,4,22,0,1,Weekday,1,0.52,0.5,0.55,0.2836,9,81,90,Apr,Clear,Summer
2498,2011-04-18,2,0,4,23,0,1,Weekday,1,0.5,0.4848,0.59,0.2537,11,35,46,Apr,Clear,Summer
2499,2011-04-19,2,0,4,0,0,2,Weekday,1,0.5,0.4848,0.55,0.2239,2,23,25,Apr,Clear,Summer
2500,2011-04-19,2,0,4,1,0,2,Weekday,1,0.46,0.4545,0.63,0.2239,5,2,7,Apr,Clear,Summer
2501,2011-04-19,2,0,4,2,0,2,Weekday,1,0.46,0.4545,0.67,0.2836,8,5,13,Apr,Clear,Summer
2502,2011-04-19,2,0,4,3,0,2,Weekday,1,0.48,0.4697,0.63,0.2239,0,3,3,Apr,Clear,Summer
2503,2011-04-19,2,0,4,4,0,2,Weekday,1,0.46,0.4545,0.67,0.0896,1,4,5,Apr,Clear,Summer
2504,2011-04-19,2,0,4,5,0,2,Weekday,2,0.46,0.4545,0.72,0.194,1,17,18,Apr,Cloudy,Summer
2505,2011-04-19,2,0,4,6,0,2,Weekday,2,0.48,0.4697,0.67,0.0,2,63,65,Apr,Cloudy,Summer
2506,2011-04-19,2,0,4,7,0,2,Weekday,2,0.52,0.5,0.55,0.0,22,166,188,Apr,Cloudy,Summer
2507,2011-04-19,2,0,4,8,0,2,Weekday,2,0.5,0.4848,0.68,0.1343,20,331,351,Apr,Cloudy,Summer
2508,2011-04-19,2,0,4,9,0,2,Weekday,3,0.52,0.5,0.63,0.0896,23,139,162,Apr,Light Snow,Summer
2509,2011-04-19,2,0,4,10,0,2,Weekday,2,0.5,0.4848,0.72,0.2239,15,60,75,Apr,Cloudy,Summer
2510,2011-04-19,2,0,4,11,0,2,Weekday,2,0.54,0.5152,0.68,0.1642,19,53,72,Apr,Cloudy,Summer
2511,2011-04-19,2,0,4,12,0,2,Weekday,2,0.54,0.5152,0.64,0.0896,19,84,103,Apr,Cloudy,Summer
2512,2011-04-19,2,0,4,13,0,2,Weekday,2,0.54,0.5152,0.68,0.2239,26,103,129,Apr,Cloudy,Summer
2513,2011-04-19,2,0,4,14,0,2,Weekday,2,0.54,0.5152,0.64,0.194,19,88,107,Apr,Cloudy,Summer
2514,2011-04-19,2,0,4,15,0,2,Weekday,2,0.54,0.5152,0.65,0.1642,44,83,127,Apr,Cloudy,Summer
2515,2011-04-19,2,0,4,16,0,2,Weekday,1,0.56,0.5303,0.52,0.2985,30,162,192,Apr,Clear,Summer
2516,2011-04-19,2,0,4,17,0,2,Weekday,1,0.56,0.5303,0.6,0.1045,39,372,411,Apr,Clear,Summer
2517,2011-04-19,2,0,4,18,0,2,Weekday,2,0.54,0.5152,0.64,0.1343,44,377,421,Apr,Cloudy,Summer
2518,2011-04-19,2,0,4,19,0,2,Weekday,2,0.5,0.4848,0.72,0.194,28,248,276,Apr,Cloudy,Summer
2519,2011-04-19,2,0,4,20,0,2,Weekday,2,0.5,0.4848,0.72,0.2239,20,148,168,Apr,Cloudy,Summer
2520,2011-04-19,2,0,4,21,0,2,Weekday,2,0.5,0.4848,0.72,0.1343,8,114,122,Apr,Cloudy,Summer
2521,2011-04-19,2,0,4,22,0,2,Weekday,1,0.48,0.4697,0.77,0.0896,3,109,112,Apr,Clear,Summer
2522,2011-04-19,2,0,4,23,0,2,Weekday,1,0.46,0.4545,0.88,0.0896,11,41,52,Apr,Clear,Summer
2523,2011-04-20,2,0,4,0,0,3,Weekday,1,0.44,0.4394,0.88,0.1343,4,29,33,Apr,Clear,Summer
2524,2011-04-20,2,0,4,1,0,3,Weekday,1,0.42,0.4242,0.94,0.1642,2,5,7,Apr,Clear,Summer
2525,2011-04-20,2,0,4,2,0,3,Weekday,1,0.42,0.4242,0.94,0.1642,0,2,2,Apr,Clear,Summer
2526,2011-04-20,2,0,4,3,0,3,Weekday,1,0.42,0.4242,0.94,0.0,0,2,2,Apr,Clear,Summer
2527,2011-04-20,2,0,4,4,0,3,Weekday,1,0.4,0.4091,1.0,0.1045,5,4,9,Apr,Clear,Summer
2528,2011-04-20,2,0,4,5,0,3,Weekday,1,0.4,0.4091,0.94,0.194,1,14,15,Apr,Clear,Summer
2529,2011-04-20,2,0,4,6,0,3,Weekday,1,0.42,0.4242,0.94,0.1642,2,62,64,Apr,Clear,Summer
2530,2011-04-20,2,0,4,7,0,3,Weekday,1,0.44,0.4394,0.94,0.0,26,211,237,Apr,Clear,Summer
2531,2011-04-20,2,0,4,8,0,3,Weekday,1,0.62,0.6061,0.69,0.4627,22,374,396,Apr,Clear,Summer
2532,2011-04-20,2,0,4,9,0,3,Weekday,1,0.66,0.6212,0.61,0.2836,27,170,197,Apr,Clear,Summer
2533,2011-04-20,2,0,4,10,0,3,Weekday,1,0.62,0.6061,0.69,0.0896,45,86,131,Apr,Clear,Summer
2534,2011-04-20,2,0,4,11,0,3,Weekday,1,0.62,0.6061,0.69,0.0896,31,87,118,Apr,Clear,Summer
2535,2011-04-20,2,0,4,12,0,3,Weekday,1,0.7,0.6515,0.48,0.3881,28,117,145,Apr,Clear,Summer
2536,2011-04-20,2,0,4,13,0,3,Weekday,1,0.7,0.6515,0.48,0.3881,42,135,177,Apr,Clear,Summer
2537,2011-04-20,2,0,4,14,0,3,Weekday,1,0.74,0.6515,0.4,0.4627,33,115,148,Apr,Clear,Summer
2538,2011-04-20,2,0,4,15,0,3,Weekday,2,0.76,0.6667,0.35,0.3582,32,113,145,Apr,Cloudy,Summer
2539,2011-04-20,2,0,4,16,0,3,Weekday,2,0.76,0.6667,0.35,0.3582,54,201,255,Apr,Cloudy,Summer
2540,2011-04-20,2,0,4,17,0,3,Weekday,2,0.74,0.6515,0.37,0.4179,34,398,432,Apr,Cloudy,Summer
2541,2011-04-20,2,0,4,18,0,3,Weekday,1,0.74,0.6515,0.3,0.3582,56,385,441,Apr,Clear,Summer
2542,2011-04-20,2,0,4,19,0,3,Weekday,1,0.7,0.6364,0.32,0.2537,74,309,383,Apr,Clear,Summer
2543,2011-04-20,2,0,4,20,0,3,Weekday,1,0.68,0.6212,0.32,0.1045,31,194,225,Apr,Clear,Summer
2544,2011-04-20,2,0,4,21,0,3,Weekday,1,0.66,0.6212,0.36,0.2836,38,134,172,Apr,Clear,Summer
2545,2011-04-20,2,0,4,22,0,3,Weekday,1,0.62,0.6212,0.41,0.2537,12,105,117,Apr,Clear,Summer
2546,2011-04-20,2,0,4,23,0,3,Weekday,1,0.6,0.6212,0.4,0.3284,14,79,93,Apr,Clear,Summer
2547,2011-04-21,2,0,4,0,0,4,Weekday,1,0.56,0.5303,0.43,0.3582,11,33,44,Apr,Clear,Summer
2548,2011-04-21,2,0,4,1,0,4,Weekday,1,0.52,0.5,0.45,0.2239,6,20,26,Apr,Clear,Summer
2549,2011-04-21,2,0,4,2,0,4,Weekday,1,0.5,0.4848,0.42,0.3881,3,10,13,Apr,Clear,Summer
2550,2011-04-21,2,0,4,3,0,4,Weekday,2,0.46,0.4545,0.51,0.4627,4,3,7,Apr,Cloudy,Summer
2551,2011-04-21,2,0,4,4,0,4,Weekday,2,0.44,0.4394,0.54,0.4478,2,4,6,Apr,Cloudy,Summer
2552,2011-04-21,2,0,4,5,0,4,Weekday,2,0.42,0.4242,0.54,0.5522,0,14,14,Apr,Cloudy,Summer
2553,2011-04-21,2,0,4,6,0,4,Weekday,2,0.4,0.4091,0.58,0.5821,2,73,75,Apr,Cloudy,Summer
2554,2011-04-21,2,0,4,7,0,4,Weekday,2,0.42,0.4242,0.47,0.4627,15,183,198,Apr,Cloudy,Summer
2555,2011-04-21,2,0,4,8,0,4,Weekday,2,0.4,0.4091,0.5,0.4925,19,346,365,Apr,Cloudy,Summer
2556,2011-04-21,2,0,4,9,0,4,Weekday,2,0.42,0.4242,0.47,0.2836,18,178,196,Apr,Cloudy,Summer
2557,2011-04-21,2,0,4,10,0,4,Weekday,1,0.42,0.4242,0.44,0.3582,25,73,98,Apr,Clear,Summer
2558,2011-04-21,2,0,4,11,0,4,Weekday,1,0.44,0.4394,0.41,0.2836,34,99,133,Apr,Clear,Summer
2559,2011-04-21,2,0,4,12,0,4,Weekday,1,0.46,0.4545,0.38,0.1642,49,150,199,Apr,Clear,Summer
2560,2011-04-21,2,0,4,13,0,4,Weekday,1,0.48,0.4697,0.33,0.3284,55,122,177,Apr,Clear,Summer
2561,2011-04-21,2,0,4,14,0,4,Weekday,1,0.5,0.4848,0.34,0.3881,68,160,228,Apr,Clear,Summer
2562,2011-04-21,2,0,4,15,0,4,Weekday,1,0.52,0.5,0.29,0.4179,69,166,235,Apr,Clear,Summer
2563,2011-04-21,2,0,4,16,0,4,Weekday,1,0.52,0.5,0.27,0.3582,66,228,294,Apr,Clear,Summer
2564,2011-04-21,2,0,4,17,0,4,Weekday,1,0.5,0.4848,0.29,0.1642,79,402,481,Apr,Clear,Summer
2565,2011-04-21,2,0,4,18,0,4,Weekday,1,0.5,0.4848,0.25,0.2836,71,381,452,Apr,Clear,Summer
2566,2011-04-21,2,0,4,19,0,4,Weekday,1,0.46,0.4545,0.28,0.2836,52,272,324,Apr,Clear,Summer
2567,2011-04-21,2,0,4,20,0,4,Weekday,1,0.44,0.4394,0.3,0.1343,28,176,204,Apr,Clear,Summer
2568,2011-04-21,2,0,4,21,0,4,Weekday,1,0.42,0.4242,0.47,0.194,25,159,184,Apr,Clear,Summer
2569,2011-04-21,2,0,4,22,0,4,Weekday,1,0.42,0.4242,0.38,0.0896,31,106,137,Apr,Clear,Summer
2570,2011-04-21,2,0,4,23,0,4,Weekday,1,0.4,0.4091,0.43,0.1045,13,86,99,Apr,Clear,Summer
2571,2011-04-22,2,0,4,0,0,5,Weekday,1,0.36,0.3485,0.62,0.194,3,30,33,Apr,Clear,Summer
2572,2011-04-22,2,0,4,1,0,5,Weekday,1,0.36,0.3333,0.53,0.2537,2,22,24,Apr,Clear,Summer
2573,2011-04-22,2,0,4,2,0,5,Weekday,1,0.36,0.3333,0.53,0.2985,2,7,9,Apr,Clear,Summer
2574,2011-04-22,2,0,4,3,0,5,Weekday,1,0.36,0.3333,0.53,0.2985,0,2,2,Apr,Clear,Summer
2575,2011-04-22,2,0,4,4,0,5,Weekday,1,0.34,0.3182,0.53,0.2836,1,2,3,Apr,Clear,Summer
2576,2011-04-22,2,0,4,5,0,5,Weekday,1,0.34,0.3182,0.53,0.2239,0,16,16,Apr,Clear,Summer
2577,2011-04-22,2,0,4,6,0,5,Weekday,1,0.34,0.3182,0.53,0.2836,2,47,49,Apr,Clear,Summer
2578,2011-04-22,2,0,4,7,0,5,Weekday,2,0.34,0.3182,0.53,0.2836,5,175,180,Apr,Cloudy,Summer
2579,2011-04-22,2,0,4,8,0,5,Weekday,2,0.34,0.3182,0.53,0.2537,15,331,346,Apr,Cloudy,Summer
2580,2011-04-22,2,0,4,9,0,5,Weekday,3,0.34,0.303,0.61,0.2985,17,178,195,Apr,Light Snow,Summer
2581,2011-04-22,2,0,4,10,0,5,Weekday,2,0.36,0.3485,0.62,0.194,32,104,136,Apr,Cloudy,Summer
2582,2011-04-22,2,0,4,11,0,5,Weekday,3,0.34,0.3333,0.66,0.194,23,83,106,Apr,Light Snow,Summer
2583,2011-04-22,2,0,4,12,0,5,Weekday,3,0.34,0.3333,0.76,0.1343,19,61,80,Apr,Light Snow,Summer
2584,2011-04-22,2,0,4,13,0,5,Weekday,3,0.34,0.3333,0.87,0.194,3,37,40,Apr,Light Snow,Summer
2585,2011-04-22,2,0,4,14,0,5,Weekday,3,0.34,0.3182,0.87,0.2537,3,33,36,Apr,Light Snow,Summer
2586,2011-04-22,2,0,4,15,0,5,Weekday,3,0.34,0.3333,0.87,0.194,13,62,75,Apr,Light Snow,Summer
2587,2011-04-22,2,0,4,16,0,5,Weekday,3,0.34,0.3333,0.87,0.1343,4,58,62,Apr,Light Snow,Summer
2588,2011-04-22,2,0,4,17,0,5,Weekday,3,0.32,0.303,0.93,0.2239,6,63,69,Apr,Light Snow,Summer
2589,2011-04-22,2,0,4,18,0,5,Weekday,3,0.32,0.303,0.93,0.2239,4,47,51,Apr,Light Snow,Summer
2590,2011-04-22,2,0,4,19,0,5,Weekday,3,0.32,0.303,0.93,0.2239,7,48,55,Apr,Light Snow,Summer
2591,2011-04-22,2,0,4,20,0,5,Weekday,3,0.32,0.303,0.87,0.2239,8,39,47,Apr,Light Snow,Summer
2592,2011-04-22,2,0,4,21,0,5,Weekday,3,0.3,0.303,0.93,0.1642,5,23,28,Apr,Light Snow,Summer
